                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 1.3685,                 1.1926,                 1.2019,                0.77577,                0.52986,                0.51705,                0.28331,                 1.8254,                 1.8797,                 1.4822,              0.0013823,              0.0013823,              0.0013823
                     35,                 1.3092,                 1.1166,                 1.1533,                0.59701,                0.69486,                0.59433,                0.30966,                 1.8172,                 1.7804,                 1.5153,              0.0013809,              0.0013809,              0.0013809
                     36,                 1.3045,                 1.1871,                 1.1778,                0.75399,                0.58989,                0.66492,                0.32945,                 1.8712,                 1.5034,                 1.5181,              0.0013795,              0.0013795,              0.0013795
                     37,                 1.3289,                 1.1748,                 1.1733,                0.56501,                0.67215,                0.65027,                0.34064,                  1.843,                 1.6004,                 1.4735,              0.0013781,              0.0013781,              0.0013781
                     38,                 1.2878,                 1.1721,                 1.1542,                0.62964,                0.52406,                0.58797,                0.30345,                 1.8054,                 1.6218,                 1.4726,              0.0013767,              0.0013767,              0.0013767
                     39,                 1.2492,                   1.14,                 1.1471,                0.69578,                0.55754,                0.66064,                0.34526,                 1.7677,                 1.9922,                 1.4957,              0.0013752,              0.0013752,              0.0013752
                     40,                 1.2889,                 1.1863,                 1.1721,                0.74645,                0.61614,                0.64343,                0.31997,                 1.7817,                 1.7255,                 1.5126,              0.0013738,              0.0013738,              0.0013738
                     41,                 1.2567,                 1.0828,                 1.1381,                0.67623,                0.61902,                0.61815,                0.31805,                 1.7324,                 1.6293,                 1.4416,              0.0013724,              0.0013724,              0.0013724
                     42,                 1.2689,                 1.0901,                 1.1235,                0.84402,                0.51652,                0.57957,                0.31291,                 1.7176,                 1.7145,                 1.4073,               0.001371,               0.001371,               0.001371
                     43,                 1.2754,                 1.1081,                 1.1378,                 0.6731,                0.55069,                0.63428,                0.30242,                 1.7414,                 1.7936,                 1.4338,              0.0013696,              0.0013696,              0.0013696
                     44,                 1.2121,                 1.0368,                  1.105,                0.78676,                0.44441,                0.55897,                0.27654,                 1.8436,                 1.7751,                 1.4869,              0.0013682,              0.0013682,              0.0013682
                     45,                 1.2043,                 1.0638,                 1.1376,                0.83452,                 0.4585,                0.55045,                0.28216,                 1.8516,                 1.7742,                 1.5086,              0.0013668,              0.0013668,              0.0013668
                     46,                 1.2746,                 1.1066,                 1.1553,                 0.4819,                0.42486,                0.51459,                0.26412,                 2.0209,                 1.8111,                 1.6283,              0.0013653,              0.0013653,              0.0013653
                     47,                 1.2905,                 1.0701,                 1.1617,                0.41854,                0.53855,                0.48854,                0.25228,                 2.0079,                 1.8312,                 1.5968,              0.0013639,              0.0013639,              0.0013639
                     48,                 1.2367,                 1.0492,                 1.1476,                0.81927,                0.47308,                0.54053,                0.28159,                 1.9733,                 1.6743,                  1.604,              0.0013625,              0.0013625,              0.0013625
                     49,                 1.1751,                 1.0048,                 1.1025,                0.50139,                0.61616,                0.56429,                0.29477,                 1.9527,                 1.4906,                 1.6092,              0.0013611,              0.0013611,              0.0013611
                     50,                  1.208,                 1.0547,                 1.1474,                0.56961,                0.60732,                0.55193,                0.27009,                 1.9628,                 1.5091,                 1.5775,              0.0013597,              0.0013597,              0.0013597
                     51,                 1.2192,                  1.019,                 1.1373,                0.51316,                0.60051,                0.49809,                 0.2358,                 2.0176,                 1.5607,                 1.6387,              0.0013583,              0.0013583,              0.0013583
                     52,                 1.2192,                 1.0299,                 1.1394,                0.54487,                0.67736,                0.54231,                0.26961,                 1.9594,                 1.4291,                 1.5742,              0.0013568,              0.0013568,              0.0013568
                     53,                 1.1614,                0.93562,                 1.1065,                0.66719,                0.57384,                 0.5653,                 0.2807,                 1.9066,                 1.4635,                 1.5239,              0.0013554,              0.0013554,              0.0013554
                     54,                 1.2107,                0.96686,                 1.1039,                 0.8067,                0.54383,                0.56195,                0.28077,                 1.7992,                 1.6137,                  1.472,               0.001354,               0.001354,               0.001354
                     55,                 1.1642,                0.94613,                 1.0891,                0.69688,                0.70534,                0.67673,                0.33644,                   1.84,                 1.5568,                 1.5034,              0.0013526,              0.0013526,              0.0013526
                     56,                 1.1601,                0.95735,                 1.1087,                0.67977,                0.69755,                0.69415,                0.35761,                 1.7209,                 1.3995,                 1.4156,              0.0013512,              0.0013512,              0.0013512
                     57,                 1.1431,                0.90836,                  1.084,                0.59346,                0.74628,                0.69741,                 0.3461,                 1.7827,                 1.4008,                 1.4363,              0.0013498,              0.0013498,              0.0013498
                     58,                  1.176,                0.90161,                 1.1019,                0.63677,                0.65319,                0.66109,                0.30482,                 1.8705,                 1.4915,                 1.4702,              0.0013484,              0.0013484,              0.0013484
                     59,                 1.1583,                0.89907,                 1.0868,                  0.813,                0.54941,                0.68299,                0.32717,                 1.8144,                 1.3535,                 1.4552,              0.0013469,              0.0013469,              0.0013469
                     60,                 1.1619,                0.91921,                 1.0974,                 0.7623,                 0.5587,                0.64346,                0.30891,                 1.9324,                 1.3924,                 1.5381,              0.0013455,              0.0013455,              0.0013455
                     61,                   1.12,                0.88626,                 1.0666,                0.64857,                0.59286,                0.64331,                0.30655,                 1.9058,                   1.49,                 1.5381,              0.0013441,              0.0013441,              0.0013441
                     62,                 1.1611,                0.88699,                 1.0877,                0.59845,                0.65292,                0.63875,                0.29476,                 1.9095,                  1.573,                 1.5502,              0.0013427,              0.0013427,              0.0013427
                     63,                 1.1898,                0.90891,                 1.0959,                0.61046,                0.67873,                0.63434,                0.31626,                 1.8766,                 1.4849,                 1.5075,              0.0013413,              0.0013413,              0.0013413
                     64,                  1.206,                0.90835,                 1.1059,                0.63853,                0.66288,                0.65818,                0.34531,                 1.7655,                 1.4679,                 1.4817,              0.0013399,              0.0013399,              0.0013399
                     65,                 1.1013,                0.84715,                 1.0818,                0.62835,                0.65257,                0.63983,                0.32388,                 1.8081,                 1.4365,                 1.4825,              0.0013385,              0.0013385,              0.0013385
                     66,                 1.1621,                 0.9112,                 1.0981,                0.61033,                0.63579,                0.61703,                 0.3091,                 1.8315,                 1.4449,                 1.5031,               0.001337,               0.001337,               0.001337
                     67,                 1.1499,                0.85575,                 1.0763,                0.64828,                0.70214,                0.66426,                0.33861,                 1.8405,                 1.3261,                 1.5258,              0.0013356,              0.0013356,              0.0013356
                     68,                 1.0884,                0.83828,                 1.0713,                0.62347,                0.64655,                0.65264,                0.34387,                 1.8221,                 1.3132,                 1.4724,              0.0013342,              0.0013342,              0.0013342
                     69,                 1.0846,                0.90338,                  1.061,                0.71796,                0.53455,                 0.6464,                0.32938,                  1.827,                 1.3918,                 1.4768,              0.0013328,              0.0013328,              0.0013328
                     70,                 1.0491,                0.85237,                 1.0675,                0.73921,                0.63179,                0.64853,                 0.3346,                 1.8498,                 1.4108,                 1.5045,              0.0013314,              0.0013314,              0.0013314
                     71,                 1.1212,                0.85489,                 1.0868,                0.93932,                0.48986,                0.63658,                0.31747,                 1.8238,                 1.5109,                 1.5293,                0.00133,                0.00133,                0.00133
                     72,                 1.0785,                0.82943,                 1.0471,                0.65668,                0.55185,                0.63668,                0.33219,                 1.7693,                 1.4883,                 1.5031,              0.0013286,              0.0013286,              0.0013286
                     73,                 1.0962,                0.90718,                 1.0666,                0.87475,                0.51223,                0.62423,                0.33249,                  1.726,                 1.5142,                 1.4849,              0.0013271,              0.0013271,              0.0013271
                     74,                 1.0735,                0.84801,                 1.0694,                0.82337,                  0.581,                0.62831,                0.35734,                 1.7043,                 1.4605,                 1.4499,              0.0013257,              0.0013257,              0.0013257
                     75,                 1.0532,                0.77667,                 1.0605,                0.61942,                0.63518,                0.66268,                0.34153,                 1.7827,                 1.4953,                 1.4681,              0.0013243,              0.0013243,              0.0013243
                     76,                 1.0896,                0.83041,                  1.054,                0.70792,                0.57172,                0.61972,                0.32023,                 1.8343,                 1.6178,                 1.5112,              0.0013229,              0.0013229,              0.0013229
                     77,                 1.0196,                0.77663,                 1.0402,                0.70622,                0.54699,                0.60057,                0.31611,                  1.805,                 1.5364,                 1.4853,              0.0013215,              0.0013215,              0.0013215
                     78,                 1.0972,                0.81368,                 1.0596,                0.62846,                 0.6679,                0.61901,                0.32087,                 1.8007,                  1.355,                 1.4717,              0.0013201,              0.0013201,              0.0013201
                     79,                 1.0813,                0.86326,                 1.0779,                0.61818,                0.61778,                0.58072,                0.29001,                  2.006,                 1.5118,                 1.6241,              0.0013187,              0.0013187,              0.0013187
                     80,                 1.0928,                0.82243,                   1.05,                0.66202,                0.68268,                0.64348,                0.33379,                 1.8547,                  1.438,                 1.5101,              0.0013172,              0.0013172,              0.0013172
                     81,                 0.9697,                0.72969,                 1.0089,                0.63754,                0.69364,                0.64343,                  0.323,                  1.825,                 1.5095,                 1.5041,              0.0013158,              0.0013158,              0.0013158
                     82,                0.99537,                0.74223,                 1.0165,                0.53471,                0.66768,                 0.5877,                 0.3116,                 1.8694,                 1.7723,                 1.5321,              0.0013144,              0.0013144,              0.0013144
                     83,                 1.0179,                0.76622,                  1.025,                0.53272,                0.69551,                0.60038,                0.30844,                 1.8276,                 1.8976,                 1.5182,               0.001313,               0.001313,               0.001313
                     84,                0.98277,                0.73647,                 1.0267,                0.64021,                0.68433,                0.65585,                0.34524,                 1.7398,                 1.5695,                 1.4475,              0.0013116,              0.0013116,              0.0013116
                     85,                 1.0189,                0.78789,                 1.0453,                0.80944,                0.66884,                0.67989,                 0.3493,                 1.7504,                 1.4228,                 1.4506,              0.0013102,              0.0013102,              0.0013102
                     86,                 1.0287,                0.77145,                 1.0749,                0.66433,                0.66316,                0.59543,                 0.3091,                 1.8677,                 1.4347,                 1.4881,              0.0013087,              0.0013087,              0.0013087
                     87,                0.99394,                0.75977,                 1.0203,                0.67422,                  0.622,                0.55593,                0.28015,                 1.9192,                 1.4208,                  1.527,              0.0013073,              0.0013073,              0.0013073
                     88,                0.98972,                0.74827,                 1.0047,                0.44562,                0.65152,                0.54799,                0.27405,                 1.9589,                 1.5185,                 1.6214,              0.0013059,              0.0013059,              0.0013059
                     89,                0.95518,                0.73657,                  1.018,                0.61216,                0.58768,                 0.5808,                0.29508,                 1.9017,                 1.3956,                 1.5689,              0.0013045,              0.0013045,              0.0013045
                     90,                0.97896,                0.73273,                 1.0304,                0.70008,                0.55873,                0.58693,                0.30057,                 1.9512,                 1.5565,                 1.5491,              0.0013031,              0.0013031,              0.0013031
                     91,                 1.0254,                0.79364,                 1.0559,                0.60103,                0.59985,                0.60824,                0.30652,                 2.0101,                 1.4782,                 1.5991,              0.0013017,              0.0013017,              0.0013017
                     92,                 1.0117,                0.76511,                 1.0434,                0.82227,                0.50435,                 0.5605,                 0.2798,                  1.898,                 1.5813,                 1.5391,              0.0013003,              0.0013003,              0.0013003
                     93,                0.98746,                0.70346,                 1.0178,                0.45145,                0.53071,                0.53823,                0.27856,                 1.8788,                 1.5182,                 1.5192,              0.0012988,              0.0012988,              0.0012988
                     94,                 0.9304,                0.71632,                 1.0065,                0.51306,                0.52936,                0.57588,                0.30879,                 1.8289,                 1.6182,                 1.4242,              0.0012974,              0.0012974,              0.0012974
                     95,                 1.0134,                0.76003,                 1.0195,                0.60031,                0.60543,                 0.5672,                0.30478,                 1.8315,                 1.5154,                 1.4297,               0.001296,               0.001296,               0.001296
                     96,                  1.004,                0.73065,                  1.018,                0.63997,                0.63206,                0.60275,                0.29933,                 1.8398,                 1.4943,                 1.4532,              0.0012946,              0.0012946,              0.0012946
                     97,                0.92039,                0.68693,                0.98225,                0.63705,                0.62278,                0.60154,                0.31128,                 1.8022,                 1.4963,                 1.4468,              0.0012932,              0.0012932,              0.0012932
                     98,                0.96025,                0.69716,                 1.0014,                0.56647,                0.59935,                0.56385,                0.28955,                 1.8681,                 1.3441,                 1.5122,              0.0012918,              0.0012918,              0.0012918
                     99,                 1.0241,                 0.7839,                 1.0561,                0.53588,                0.63491,                0.58067,                0.30716,                  1.912,                 1.4483,                 1.5273,              0.0012904,              0.0012904,              0.0012904
                    100,                 0.9336,                0.68349,                0.98792,                0.51188,                0.60116,                0.56279,                 0.3021,                 1.8519,                 1.4778,                 1.4826,              0.0012889,              0.0012889,              0.0012889
                    101,                0.96112,                0.70106,                 1.0099,                0.50359,                0.52045,                0.56699,                0.30923,                 1.8397,                 1.5455,                 1.4686,              0.0012875,              0.0012875,              0.0012875
                    102,                0.93659,                0.69359,                 1.0051,                0.60129,                0.59236,                0.60028,                0.30393,                 1.8942,                 1.6381,                 1.5341,              0.0012861,              0.0012861,              0.0012861
                    103,                0.94446,                0.68534,                 1.0027,                0.80132,                0.56281,                0.61006,                0.31503,                  1.903,                 1.6903,                 1.5833,              0.0012847,              0.0012847,              0.0012847
                    104,                0.92499,                0.66363,                0.97155,                0.79867,                0.60993,                0.61822,                0.32205,                 1.8751,                 1.6037,                 1.5685,              0.0012833,              0.0012833,              0.0012833
                    105,                0.91482,                0.65958,                 1.0114,                0.78966,                0.56045,                 0.5865,                0.30078,                 1.9183,                 1.6742,                 1.5971,              0.0012819,              0.0012819,              0.0012819
                    106,                0.97444,                0.75488,                 1.0069,                0.74291,                0.54572,                0.57458,                0.30362,                 1.8775,                 1.6578,                 1.5718,              0.0012805,              0.0012805,              0.0012805
                    107,                0.97027,                0.67444,                 1.0104,                0.78779,                0.58213,                0.62803,                0.31642,                 1.8575,                 1.5486,                 1.5251,               0.001279,               0.001279,               0.001279
                    108,                0.95848,                0.69828,                0.98996,                0.62164,                0.68152,                 0.6363,                 0.3171,                 1.8001,                 1.3824,                 1.5253,              0.0012776,              0.0012776,              0.0012776
                    109,                0.95095,                0.70441,                 0.9945,                0.56078,                0.77134,                0.61252,                0.30381,                 1.7942,                 1.4314,                 1.5148,              0.0012762,              0.0012762,              0.0012762
                    110,                0.94068,                 0.6737,                 1.0082,                0.58194,                0.71051,                0.58937,                0.28826,                 1.8943,                 1.6451,                 1.5577,              0.0012748,              0.0012748,              0.0012748
                    111,                0.93202,                0.63701,                0.97943,                0.51999,                0.78634,                0.60546,                 0.2942,                 1.8382,                 1.5016,                 1.5106,              0.0012734,              0.0012734,              0.0012734
                    112,                0.96356,                0.65483,                 1.0159,                0.56746,                0.64566,                0.63312,                0.32356,                 1.8149,                 1.4149,                  1.528,               0.001272,               0.001272,               0.001272
                    113,                0.90021,                0.61632,                0.99305,                0.60112,                0.69486,                0.61793,                0.32302,                 1.8109,                 1.4376,                 1.5265,              0.0012706,              0.0012706,              0.0012706
                    114,                0.94025,                0.69738,                 1.0156,                0.62612,                0.64119,                0.61113,                0.32395,                 1.8196,                 1.4331,                 1.5229,              0.0012691,              0.0012691,              0.0012691
                    115,                0.91894,                0.63283,                 1.0093,                0.68203,                0.57208,                0.63186,                0.34085,                 1.8349,                 1.3818,                 1.5202,              0.0012677,              0.0012677,              0.0012677
                    116,                0.90242,                  0.659,                0.97388,                0.64622,                 0.5951,                0.59157,                0.30879,                 1.8717,                 1.5775,                 1.5653,              0.0012663,              0.0012663,              0.0012663
                    117,                0.85809,                0.60338,                0.95144,                0.52888,                0.67518,                0.58522,                0.30297,                 1.8723,                 1.6612,                 1.5507,              0.0012649,              0.0012649,              0.0012649
                    118,                0.89962,                   0.63,                0.96655,                0.80525,                0.57018,                0.64276,                0.31763,                 1.9133,                   1.52,                 1.6188,              0.0012635,              0.0012635,              0.0012635
                    119,                0.89804,                0.63979,                 0.9786,                0.77325,                0.60004,                0.65313,                0.32026,                 1.9044,                  1.416,                  1.611,              0.0012621,              0.0012621,              0.0012621
                    120,                0.92359,                0.66442,                0.99051,                0.71674,                0.62985,                0.64187,                0.32046,                 1.8899,                 1.4132,                 1.5467,              0.0012606,              0.0012606,              0.0012606
                    121,                0.88901,                0.65057,                0.99088,                0.75962,                0.60847,                0.63963,                0.33595,                 1.8849,                 1.3939,                  1.559,              0.0012592,              0.0012592,              0.0012592
                    122,                0.94241,                0.66084,                  1.003,                0.66252,                0.56945,                0.60415,                0.30195,                 1.9183,                 1.4239,                 1.5977,              0.0012578,              0.0012578,              0.0012578
                    123,                0.88516,                0.64677,                0.97662,                0.71397,                0.55619,                0.59108,                0.29698,                 1.8903,                 1.4484,                 1.5779,              0.0012564,              0.0012564,              0.0012564
                    124,                0.86217,                 0.6096,                0.96969,                0.57325,                0.65979,                0.60542,                0.32875,                 1.8175,                 1.5997,                 1.5519,               0.001255,               0.001255,               0.001255
                    125,                0.88759,                0.66482,                0.96548,                0.68321,                0.68458,                0.65073,                0.34243,                 1.7854,                 1.5531,                 1.5332,              0.0012536,              0.0012536,              0.0012536
                    126,                0.87278,                0.67024,                0.98154,                0.67439,                0.62061,                0.64118,                0.31635,                 1.8122,                 1.4433,                 1.5385,              0.0012522,              0.0012522,              0.0012522
                    127,                0.85892,                0.60962,                0.95703,                0.63776,                0.66127,                0.61962,                0.31077,                 1.8215,                 1.4844,                  1.546,              0.0012507,              0.0012507,              0.0012507
                    128,                 0.8868,                0.67378,                0.98798,                0.82334,                0.61669,                0.64176,                0.33016,                 1.8498,                 1.5077,                 1.5504,              0.0012493,              0.0012493,              0.0012493
                    129,                0.88488,                0.63311,                0.99182,                0.72866,                 0.6552,                0.65397,                0.35643,                 1.7752,                 1.4781,                 1.4792,              0.0012479,              0.0012479,              0.0012479
                    130,                0.91601,                0.64225,                0.98465,                0.73547,                0.64358,                0.67031,                0.36772,                 1.7523,                 1.4134,                 1.4405,              0.0012465,              0.0012465,              0.0012465
                    131,                0.91165,                0.64378,                0.99921,                0.71964,                 0.7204,                0.67663,                0.36527,                 1.7842,                 1.3084,                   1.44,              0.0012451,              0.0012451,              0.0012451
                    132,                0.90588,                0.63929,                0.99751,                 0.6461,                0.72732,                0.66016,                0.34475,                 1.7781,                 1.3738,                 1.4551,              0.0012437,              0.0012437,              0.0012437
                    133,                0.92001,                0.64046,                 0.9718,                0.62217,                0.72384,                0.64291,                0.34045,                 1.7431,                 1.4959,                 1.4488,              0.0012423,              0.0012423,              0.0012423
                    134,                 0.9137,                0.61796,                0.97982,                0.59654,                0.68217,                0.63623,                0.31806,                 1.7951,                 1.5333,                 1.4905,              0.0012408,              0.0012408,              0.0012408
